 value_right_gdays_integ_r2 | value_left_dayswaqi_integ_r2 | i_county  | i_year | i_dayswaqi | i_maqi | i_gdays | pattern_IG | coverage | informativeness | mean_r2            | f_score            |
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
 1.4298245614035086         | 1.6505376344086022           | NULL      | 2021   | NULL       | NULL   | NULL    | 60         | 13       | 1               | 1.5401810979060553 | 63.61336384987956  |
 2                          | 2                            | NULL      | 2021   | 243        | NULL   | NULL    | 7          | 2        | 2               | 2                  | 17.23076923076923  |
 1                          | 1                            | Russell   | 2021   | 189        | 142    | 189     | 10         | 1        | 5               | 1                  | 11.764705882352942 |
 1                          | 1                            | Etowah    | 2021   | 178        | 77     | 178     | 10         | 1        | 5               | 1                  | 11.764705882352942 |
 1                          | 1                            | Jefferson | 2021   | 90         | 213    | 90      | 9          | 1        | 5               | 1                  | 11.25              |
 1                          | 1                            | Shelby    | 2021   | 226        | 107    | 226     | 8          | 1        | 5               | 1                  | 10.666666666666666 |
 1                          | 1                            | Morgan    | 2021   | 243        | 96     | 191     | 7          | 1        | 5               | 1                  | 10                 |
 1                          | 1                            | Madison   | 2021   | 139        | 101    | 139     | 7          | 1        | 5               | 1                  | 10                 |
 1                          | 1                            | NULL      | 2021   | NULL       | NULL   | 226     | 8          | 2        | 2               | 1                  | 9.846153846153847  |
 2                          | 2                            | NULL      | NULL   | 243        | NULL   | NULL    | 7          | 2        | 1               | 2                  | 9.333333333333334  |
